id,name_bg,name_en,category,era_bg,date_context_bg,date_context_en,date_precision,creator_context_bg,creator_context_en,creator_status,lat,lng,event_ids,person_ids,organization_ids,archive_item_ids,then_now_pair_ids,source_ids,editorial_status
place-nebet-tepe,Небет тепе,Nebet Tepe,thracian,Тракийска епоха – Античност,Тракийска епоха – Античност,Thracian era – Antiquity,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.151236,24.752182,event-prehistory-nebet-tepe|event-thracian-town-bessi|event-thracian-eumolpias,,,,,source-wikipedia-nebet-tepe|source-wikidata-nebet-tepe-coordinates|source-wikimedia-commons-view-from-nebet-hill-plovdiv-bulgaria-jpg,needs_editorial_signoff
place-ancient-theatre,Античен театър,Ancient Theatre,roman,"Римски период, края на I в.","Римски период, края на I в.","Roman period, late 1st c.",era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.146838888,24.751005555,event-roman-theatre|event-roman-odeon|event-event-1999-month-of-culture-scale,,org-plovdiv-municipal-council|org-regional-history-museum-plovdiv|org-plovdiv-2019-foundation,archive-photo-ancient-theatre-uncovered-1|archive-photo-ancient-theatre-uncovered-2,then-now-ancient-theatre-uncovered-1|then-now-ancient-theatre-uncovered-2,source-wikipedia-plovdiv|source-wikidata-ancient-theatre-coordinates|source-wikimedia-commons-antique-theater-plovdiv-jpg,needs_editorial_signoff
place-ancient-stadium,Античен стадион,Ancient Stadium,roman,"Римски период, II в.","Римски период, II в.","Roman period, 2nd c.",era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.1475679,24.7480184,event-roman-stadium|event-programme-2009-waste-linked-infrastructure,,org-plovdiv-municipality|org-plovdiv-municipal-council,archive-photo-ancient-stadium-uncovered-1|archive-photo-ancient-stadium-uncovered-2,then-now-ancient-stadium-uncovered-1|then-now-ancient-stadium-uncovered-2,source-wikipedia-plovdiv|source-wikidata-ancient-stadium-coordinates|source-wikimedia-commons-stadio-romano-jpg,needs_editorial_signoff
place-dzhumaya-mosque,Джумая джамия,Dzhumaya Mosque,ottoman,"Османски период, XIV в.","Османски период, XIV в.","Ottoman period, 14th c.",era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.147858,24.748343,,,,,,source-wikipedia-dzhumaya-mosque|source-wikidata-dzhumaya-mosque-coordinates|source-wikimedia-commons-dzhumayata-jpg,needs_editorial_signoff
place-old-town,Старият град (Старинен Пловдив),The Old Town (Old Plovdiv),revival,"Възраждане, XIX в.","Възраждане, XIX в.","National Revival, 19th c.",era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.149824,24.752665,event-prehistory-settlement|event-ottoman-trade-centre|event-programme-1932-childcare-and-social-care|event-jews-1943|event-governance-1944-front-transition|event-programme-1969-old-plovdiv-restoration|event-modern-world-expo|event-programme-2012-waste-infrastructure-object-list,,org-plovdiv-municipality|org-plovdiv-municipal-council|org-regional-history-museum-plovdiv|org-international-fair-plovdiv,archive-photo-philippopolis-street-1878,then-now-philippopolis-street-1878,source-wikipedia-old-town-plovdiv|source-wikidata-the-old-town-old-plovdiv-coordinates|source-wikimedia-commons-renovated-house-in-plovdiv-old-town-jpg,needs_editorial_signoff
place-seven-hills,Седемте хълма (тепета),The Seven Hills (tepeta),hill,През всички епохи,През всички епохи,Across all eras,era,неприложимо за природен хълм/терен,not applicable for a natural hill or terrain feature,not_applicable,42.13696,24.73168,event-prehistory-settlement|event-prehistory-nebet-tepe|event-prehistory-bronze-age|event-thracian-town-bessi|event-thracian-eumolpias|event-thracian-celts|event-thracian-philip-v|event-roman-trimontium|event-event-1999-month-of-culture-scale,,org-regional-history-museum-plovdiv|org-plovdiv-2019-foundation,,,source-wikipedia-plovdiv|source-wikidata-the-seven-hills-tepeta-coordinates|source-wikimedia-commons-plovdiv-hills-jpg,needs_editorial_signoff
place-plovdiv-city,Пловдив,Plovdiv,civic,През всички епохи,През всички епохи,Across all eras,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.142086,24.741454,event-prehistory-settlement|event-prehistory-bronze-age|event-medieval-latin-empire|event-ottoman-1364|event-ottoman-maritsa|event-ottoman-rumelia-centre|event-ottoman-trade-centre|event-birth-haf-z-ahmed-pasha-q367949|event-birth-eugenius-ii-of-constantinople-q1884172|event-birth-georgios-kleovoulos-q18912873|event-birth-ivan-evstratiev-geshov-q523393|event-birth-konstantin-stoilov-q523488|event-birth-sehbenderzade-ahmed-hilmi-q4695337|event-birth-mary-m-haskell-q27881208|event-revival-bulgarian-church|event-birth-panayot-pipkov-q2048895|event-birth-maria-toromanova-hmelik-q19902875|event-birth-christos-tsigiridis-q5113595|event-birth-mihail-gerdzhikov-q439762|event-birth-bigal-mehmet-cavus-q40091527|event-liberation-san-stefano|event-mayor-01-atanas-samokovliev|event-mayor-02-kostaki-peev|event-eastern-rumelia-1878|event-birth-enis-akaygen-q6067938|event-mayor-03-ivan-stefanov-geshov|event-birth-ali-r-za-artunkal-q6086393|event-birth-elisaveta-konsulova-vazova-q12279745|event-birth-georgi-atanasov-q5547103|event-mayor-04-d-r-sotir-antoniadi|event-mayor-05-petko-karavelov|event-birth-josaphat-chichkov-q6279177|event-mayor-06-hafuz-ahmed-efendi|event-mayor-07-kostaki-peev|event-liberation-september-1885|event-unification-1885|event-mayor-08-hristo-dyukmedzhiev|event-modern-railways|event-birth-aleksandra-monedzhikova-q28324141|event-birth-boris-grezhov-q12273675|event-birth-pavel-patev-q12289650|event-birth-stoyan-zagorchinov-q3492916|event-birth-konstantin-lukash-q4268731|event-mayor-09-dimitr-sveshtarov|event-birth-kemal-yas-nk-l-c-q19611675|event-event-1892-first-exposition|event-fair-1892|event-mayor-10-stefan-kalchev|event-mayor-11-angel-semerdzhiev|event-mayor-12-konstantin-hadzhikalchov|event-mayor-13-mancho-manev|event-birth-armand-tokatyan-q4792706|event-mayor-14-nikola-chalkov|event-mayor-15-mihail-madzharov|event-mayor-16-danail-yurukov|event-birth-apostolos-nikolaidis-q331223|event-birth-tsanko-lavrenov-q7849377|event-mayor-17-hristo-g-danov|event-finance-1897-bnb-refinance-loan|event-finance-1898-actual-revenue|event-finance-1898-planned-budget|event-finance-1899-actual-revenue|event-mayor-18-nikola-chalkov|event-mayor-19-dragan-manchov|event-mayor-20-d-r-hristo-tanchev|event-mayor-21-georgi-dzhevizov|event-mayor-22-hristo-milev|event-birth-georgi-karaslavov-q3622160|event-mayor-23-nikola-chalkov|event-birth-edward-haskell-q5343358|event-mayor-24-vlko-shopov|event-birth-boyan-petkanchin-q12273874|event-mayor-25-d-r-ivan-kesyakov|event-birth-henri-calef-q3130778|event-birth-keraca-visulceva-q3397196|event-birth-mara-maleeva-zhivkova-q11767290|event-mayor-26-georgi-dzhevizov|event-mayor-27-nikola-kozarev|event-birth-bogdan-stefanov-dobranov-q4937469|event-birth-boris-christoff-q362106|event-birth-ivan-kostov-nikolov-q6096688|event-mayor-28-deno-manev|event-birth-dimitar-sagaev-q5277445|event-programme-1916-charity-committee|event-mayor-29-milosh-danov|event-birth-pavel-djidjov-q7155590|event-mayor-30-stefan-gevgalov|event-mayor-31-hristo-pavlov|event-mayor-32-hariton-kuev|event-mayor-33-nikola-glbov|event-birth-genko-rashkov-q91343087|event-mayor-34-panayot-mutafchiev|event-mayor-35-petr-shilev|event-mayor-36-d-r-ivan-kesyakov|event-birth-angel-wagenstein-q531900|event-mayor-37-petr-yankov|event-birth-vaklush-tolev-q17409993|event-mayor-38-ivan-stanchev|event-mayor-39-petr-drenski|event-birth-nanka-serkedzhieva-q25478652|event-birth-christo-christov-q5111619|event-birth-vasil-mirchev-q1448586|event-modern-electrification|event-mayor-40-d-r-panayot-kostov|event-1928-earthquake|event-birth-isaac-passy-q2901020|event-mayor-41-milosh-danov|event-birth-mihail-simeonov-q6845163|event-mayor-42-enyu-manolov|event-birth-milko-bobotsov-q1347292|event-birth-stancho-stanchev-q7598031|event-programme-1932-school-building-gap|event-mayor-43-bozhidar-zdravkov|event-programme-1932-childcare-and-social-care|event-birth-martsel-koen-q16574455|event-birth-nikola-padevsky-q427768|event-birth-ivan-andonov-q1675895|event-birth-krikor-azaryan-q1902725|event-birth-yoan-leviev-q12282012|event-governance-1934-municipal-reform|event-birth-emanuel-zisman-q949226|event-mayor-44-georgi-todorov|event-birth-asen-kisimov-q4804159|event-birth-rumen-gasharov-q3656624|event-mayor-45-bozhidar-zdravkov|event-birth-georgi-tringov-q961715|event-birth-milcho-leviev-q358753|event-birth-dimitar-galinchev-q62629029|event-birth-george-ganchev-q12280185|event-mayor-46-petr-malchev|event-birth-peicho-peev-q3657487|event-finance-1940-regular-budget|event-programme-1940-war-budget-priorities|event-birth-dinko-dermendzhiev-q2444179|event-birth-kostadin-tilev-q62011159|event-birth-stephane-tchalgadjieff-q3502097|event-jews-1943|event-mayor-47-dimitr-kostov|event-birth-georgi-popov-q2472095|event-birth-tzvetana-maneva-q7862005|event-finance-1944-war-damage-relief|event-governance-1944-front-transition|event-modern-wwii-bombing|event-mayor-48-d-r-asen-kozhuharov|event-birth-maria-neykova-q12286011|event-birth-stoika-milanova-q4293322|event-programme-1945-postwar-public-works|event-finance-1945-university-establishment|event-mayor-49-ivan-perpeliev|event-birth-lilyana-tomova-q274862|event-birth-moni-ovadia-q741709|event-birth-nenko-dobrev-q47456054|event-birth-pando-pandov-q3893146|event-birth-petar-stoychev-q14946295|event-finance-1946-horemag-enterprise|event-birth-evdokiya-pandezova-q43783582|event-birth-hristo-bonev-q706715|event-birth-rosica-petkova-q7368859|event-programme-1947-fair-revival|event-birth-biser-boyadzhiev-q56224072|event-birth-bozhidar-pampoulov-q12273506|event-birth-matei-pampoulov-q12286298|event-mayor-50-nikola-balkandzhiev|event-birth-mariya-petkova-q258505|event-birth-kuncho-kunchev-q60685867|event-birth-boris-komitov-q21077775|event-birth-petar-stoyanov-q81215|event-birth-assia-zlatkowa-q4808843|event-birth-ivanka-vancheva-q11714525|event-birth-slavik-tabakov-q23762783|event-birth-bozhidar-milenkov-q4952838|event-birth-hristo-smolenov-q47007832|event-birth-nonka-matova-q3878246|event-birth-georgi-dermendzhiev-q12276391|event-birth-plamen-dimov-q11888350|event-birth-dimitar-radev-q25431484|event-birth-solomon-passy-q1371792|event-modern-trolleybus|event-birth-emma-tahmizian-q433159|event-birth-lyubomir-lyubenov-q3305536|event-birth-nikolay-marincheshki-q3876974|event-birth-peter-lazarov-q2776677|event-birth-emil-stoyanov-q1336888|event-birth-mariana-serbezova-q6762066|event-birth-petar-zapryanov-q20966432|event-birth-zhan-videnov-q511954|event-mayor-51-atanas-kostov|event-birth-angelina-mikhaylova-q2493179|event-birth-atanas-mladenov-q4812753|event-birth-luba-lukova-q23882767|event-birth-atanas-hranov-q27230293|event-birth-ayan-sadakov-q1986376|event-birth-iliya-zhelev-q1658519|event-birth-jeanette-spassova-q15212955|event-birth-yuri-sterk-q12299588|event-birth-blagovest-belev-q110881376|event-birth-georgi-georgiev-q2616489|event-birth-georgi-yordanov-q2628915|event-birth-nina-khadzhiyankova-q3877064|event-mayor-52-ivan-dimitrov|event-birth-aleksandar-khristov-q620406|event-birth-alexander-sekulov-q30170062|event-birth-hristo-kolev-q1985420|event-birth-konstantin-mitev-q61638808|event-birth-milko-popcev-q4372927|event-birth-lalka-berberova-q6480436|event-mayor-53-ivan-panev|event-birth-diana-paliiska-q3079920|event-birth-dimitar-kamburski-q47455173|event-birth-hristo-stoichkov-q187125|event-birth-ilian-djevelekov-q5997999|event-birth-samuel-finzi-q106781|event-birth-sotir-tsatsarov-q12294204|event-birth-vladimir-angelov-q124670137|event-birth-madelaine-bohme-q21264297|event-birth-nikolay-bukhalov-q1385212|event-birth-nuran-pelikjan-q20030085|event-birth-silvena-rowe-q3544793|event-birth-antoaneta-strumenlieva-q29054643|event-birth-dimitre-dinev-q87994|event-mayor-54-kosta-kumanov|event-birth-christo-grozev-q104420787|event-birth-dimitar-lukanov-q5277432|event-birth-hristo-koilov-q5923786|event-birth-kalofer-khristozov-q12282435|event-birth-mariya-kartalova-q16207828|event-birth-poli-karastoyanova-q24501700|event-programme-1969-old-plovdiv-restoration|event-birth-bonka-pindzheva-q4942123|event-birth-orlin-ninov-q47491501|event-birth-petar-genov-q2607838|event-programme-1970-five-year-city-plan|event-birth-albena-branzova-q2830854|event-birth-anna-angelova-q4766820|event-birth-grigor-palikarov-q50987576|event-mayor-55-diran-parikyan|event-birth-iva-prandzheva-q263942|event-birth-julian-radulski-q492717|event-birth-juliya-baytsheva-q11345804|event-birth-krasimir-dounev-q3199606|event-birth-nikolay-barekov-q12288663|event-birth-tanya-stefanova-q7684048|event-birth-nikolai-kolev-q47491494|event-birth-yordan-yovchev-q887271|event-birth-nayden-todorov-q1963895|event-birth-aneta-germanova-q2849228|event-birth-ivan-demerdzhiev-q109467177|event-birth-maria-petrova-q2629523|event-birth-georgi-ivanov-q593740|event-birth-petar-merkov-q3656013|event-birth-antoaneta-pandjerova-q12272133|event-birth-bojidara-kouzmanova-q891182|event-birth-ina-deltcheva-q4944554|event-birth-magdalina-valchanova-q3656840|event-birth-petia-stavreva-q11815936|event-birth-iliya-dzhivondov-q1658512|event-birth-nadezhda-kehayova-q6957607|event-birth-donka-angatscheva-q43900827|event-mayor-56-hristo-mishev|event-birth-dobrinka-tabakova-q4449195|event-birth-kiril-petkov-q106928258|event-birth-milen-dobrev-q939012|event-birth-alexander-pulev-q113383770|event-birth-sonya-yoncheva-q3490781|event-modern-world-expo|event-birth-delyana-dacheva-q5254970|event-birth-petar-valchanov-q27535477|event-birth-irmena-chichikova-q22957946|event-birth-vladimir-arabadzhiev-q188383|event-birth-georgi-hristov-q1399131|event-birth-ivan-stoitsov-q12281221|event-birth-miro-q2833189|event-birth-georgi-kabakov-q21063886|event-mayor-57-dimitr-bakalov|event-birth-taner-kabilov-q126683791|event-birth-marin-yonchev-q6763764|event-birth-vladimir-zombori-q28740172|event-mayor-58-todor-petkov|event-birth-tsvetelina-yaneva-q3171491|event-modern-democratic-reform|event-birth-alexandar-komanov-q4718098|event-birth-nina-rangelova-q7038090|event-birth-rada-laykova-q127599333|event-mayor-59-nikolay-somlev|event-birth-kristian-vasilev-q26254381|event-birth-martina-gledacheva-q6777030|event-mayor-60-d-r-garabed-tomasyan|event-birth-aleksandrina-naydenova-q4715613|event-birth-nikolay-penchev-q1688332|event-birth-stoyu-stoev-q110928862|event-birth-boyanka-kostova-q2922996|event-birth-dimitar-kuzmanov-q12061061|event-birth-dimitar-krastanov-q26790006|event-mayor-61-spas-grnevski|event-birth-angel-kodinov-q26218345|event-event-1999-month-of-culture|event-event-1999-month-of-culture-scale|event-mayor-62-d-r-ivan-chomakov|event-birth-diana-petkova-q100251384|event-birth-gergana-topalova-q61644154|event-birth-aleksandra-nacheva-q55569450|event-governance-2001-development-plans|event-programme-2002-hospital-waste-incinerator|event-birth-josif-miladinov-q106978619|event-birth-nako-baev-q122904734|event-birth-suzanita-q42348994|event-finance-2005-own-revenue|event-finance-2006-own-revenue|event-finance-2007-own-revenue|event-programme-2007-state-infrastructure-credits|event-mayor-63-slavcho-atanasov|event-programme-2007-2013-capital-investment|event-programme-2007-2013-eu-operational-projects|event-programme-2008-draft-budget-capital-priorities|event-finance-2009-adopted-budget|event-programme-2009-state-beautification-subsidy|event-programme-2009-waste-linked-infrastructure|event-governance-2010-property-management-programme|event-programme-2010-culture-house-reallocation|event-programme-2010-draft-budget-infrastructure-priorities|event-programme-2010-waste-infrastructure-extra-credits|event-programme-2010-gifted-children-support|event-mayor-64-inzh-ivan-totev|event-programme-2012-waste-infrastructure-final-transfer|event-event-2014-ecoc-candidacy-budget|event-event-2018-ecoc-implementation-budget|event-capital-of-culture-2019|event-event-2019-european-capital-of-culture|event-mayor-65-zdravko-dimitrov|event-mayor-68-kostadin-dimitrov,person-albena-branzova-q2830854|person-aleksandra-monedzhikova-q28324141|person-aleksandra-nacheva-q55569450|person-aleksandrina-naydenova-q4715613|person-alexandar-komanov-q4718098|person-alexander-pulev-q113383770|person-miro-q2833189|person-alexander-sekulov-q30170062|person-aleksandar-khristov-q620406|person-ali-r-za-artunkal-q6086393|person-angel-kodinov-q26218345|person-angel-semerdzhiev|person-angelina-mikhaylova-q2493179|person-aneta-germanova-q2849228|person-angel-wagenstein-q531900|person-anna-angelova-q4766820|person-henri-calef-q3130778|person-antoaneta-pandjerova-q12272133|person-antoaneta-strumenlieva-q29054643|person-apostolos-nikolaidis-q331223|person-armand-tokatyan-q4792706|person-asen-kisimov-q4804159|person-assia-zlatkowa-q4808843|person-atanas-kostov|person-atanas-mladenov-q4812753|person-atanas-samokovliev|person-atanas-hranov-q27230293|person-sehbenderzade-ahmed-hilmi-q4695337|person-ayan-sadakov-q1986376|person-bigal-mehmet-cavus-q40091527|person-biser-boyadzhiev-q56224072|person-blagovest-belev-q110881376|person-bogdan-stefanov-dobranov-q4937469|person-bozhidar-zdravkov|person-bozhidar-milenkov-q4952838|person-bozhidar-pampoulov-q12273506|person-bojidara-kouzmanova-q891182|person-bonka-pindzheva-q4942123|person-boris-grezhov-q12273675|person-boris-komitov-q21077775|person-boris-christoff-q362106|person-boyan-petkanchin-q12273874|person-boyanka-kostova-q2922996|person-vaklush-tolev-q17409993|person-vasil-mirchev-q1448586|person-vladimir-angelov-q124670137|person-vladimir-arabadzhiev-q188383|person-vladimir-zombori-q28740172|person-valko-shopov|person-genko-rashkov-q91343087|person-georgi-atanasov-q5547103|person-georgi-georgiev-q2616489|person-georgi-dermendzhiev-q12276391|person-georgi-dzhevizov|person-georgi-ivanov-q593740|person-georgi-yordanov-q2628915|person-georgi-kabakov-q21063886|person-georgi-karaslavov-q3622160|person-georgi-popov-q2472095|person-georgi-todorov|person-georgi-tringov-q961715|person-georgi-hristov-q1399131|person-georgios-kleovoulos-q18912873|person-gergana-topalova-q61644154|person-grigor-palikarov-q50987576|person-d-r-asen-kozhuharov|person-d-r-garabed-tomasyan|person-d-r-ivan-kesyakov|person-d-r-ivan-chomakov|person-d-r-panayot-kostov|person-d-r-sotir-antoniadi|person-d-r-hristo-tanchev|person-danail-yurukov|person-delyana-dacheva-q5254970|person-deno-manev|person-diana-paliiska-q3079920|person-diana-petkova-q100251384|person-dimitar-bakalov|person-dimitar-galinchev-q62629029|person-dimitre-dinev-q87994|person-dimitar-kamburski-q47455173|person-dimitar-kostov|person-dimitar-krastanov-q26790006|person-dimitar-kuzmanov-q12061061|person-dimitar-lukanov-q5277432|person-dimitar-radev-q25431484|person-dimitar-sagaev-q5277445|person-dimitar-sveshtarov|person-dinko-dermendzhiev-q2444179|person-diran-parikyan|person-dobrinka-tabakova-q4449195|person-donka-angatscheva-q43900827|person-dragan-manchov|person-eugenius-ii-of-constantinople-q1884172|person-evdokiya-pandezova-q43783582|person-edward-haskell-q5343358|person-elisaveta-konsulova-vazova-q12279745|person-emanuel-zisman-q949226|person-emil-stoyanov-q1336888|person-emma-tahmizian-q433159|person-enis-akaygen-q6067938|person-enyu-manolov|person-zhan-videnov-q511954|person-jeanette-spassova-q15212955|person-george-ganchev-q12280185|person-zdravko-dimitrov|person-iva-prandzheva-q263942|person-ivan-andonov-q1675895|person-ivan-demerdzhiev-q109467177|person-ivan-dimitrov|person-ivan-evstratiev-geshov-q523393|person-ivan-kostov-nikolov-q6096688|person-ivan-panev|person-ivan-perpeliev|person-ivan-stanchev|person-ivan-stefanov-geshov|person-ivan-stoitsov-q12281221|person-ivanka-vancheva-q11714525|person-iliya-dzhivondov-q1658512|person-iliya-zhelev-q1658519|person-ilian-djevelekov-q5997999|person-ina-deltcheva-q4944554|person-inzh-ivan-totev|person-irmena-chichikova-q22957946|person-isaac-passy-q2901020|person-yoan-leviev-q12282012|person-yordan-yovchev-q887271|person-josaphat-chichkov-q6279177|person-josif-miladinov-q106978619|person-kalofer-khristozov-q12282435|person-kemal-yas-nk-l-c-q19611675|person-keraca-visulceva-q3397196|person-kiril-petkov-q106928258|person-konstantin-lukash-q4268731|person-konstantin-mitev-q61638808|person-konstantin-stoilov-q523488|person-konstantin-hadzhikalchov|person-kosta-kumanov|person-kostadin-dimitrov|person-kostadin-tilev-q62011159|person-kostaki-peev|person-krasimir-dounev-q3199606|person-krikor-azaryan-q1902725|person-kristian-vasilev-q26254381|person-kuncho-kunchev-q60685867|person-lalka-berberova-q6480436|person-lilyana-tomova-q274862|person-luba-lukova-q23882767|person-lyubomir-lyubenov-q3305536|person-magdalina-valchanova-q3656840|person-madelaine-bohme-q21264297|person-mancho-manev|person-mara-maleeva-zhivkova-q11767290|person-marin-yonchev-q6763764|person-mariya-petkova-q258505|person-mariya-kartalova-q16207828|person-maria-neykova-q12286011|person-maria-petrova-q2629523|person-maria-toromanova-hmelik-q19902875|person-mariana-serbezova-q6762066|person-martina-gledacheva-q6777030|person-martsel-koen-q16574455|person-matei-pampoulov-q12286298|person-mary-m-haskell-q27881208|person-milen-dobrev-q939012|person-milko-bobotsov-q1347292|person-milko-popcev-q4372927|person-milosh-danov|person-milcho-leviev-q358753|person-mihail-gerdzhikov-q439762|person-mihail-madzharov|person-mihail-simeonov-q6845163|person-moni-ovadia-q741709|person-nadezhda-kehayova-q6957607|person-nayden-todorov-q1963895|person-nako-baev-q122904734|person-nanka-serkedzhieva-q25478652|person-nenko-dobrev-q47456054|person-nikola-balkandzhiev|person-nikola-galabov|person-nikola-kozarev|person-nikola-padevsky-q427768|person-nikola-chalakov|person-nikolay-barekov-q12288663|person-nikolay-bukhalov-q1385212|person-nikolai-kolev-q47491494|person-nikolay-marincheshki-q3876974|person-nikolay-penchev-q1688332|person-nikolay-somlev|person-nina-rangelova-q7038090|person-nina-khadzhiyankova-q3877064|person-nonka-matova-q3878246|person-nuran-pelikjan-q20030085|person-orlin-ninov-q47491501|person-pavel-djidjov-q7155590|person-pavel-patev-q12289650|person-panayot-mutafchiev|person-panayot-pipkov-q2048895|person-pando-pandov-q3893146|person-peicho-peev-q3657487|person-petko-karavelov|person-petar-valchanov-q27535477|person-petar-genov-q2607838|person-petar-drenski|person-petar-zapryanov-q20966432|person-peter-lazarov-q2776677|person-petar-malchev|person-petar-merkov-q3656013|person-petar-stoychev-q14946295|person-petar-stoyanov-q81215|person-petar-shilev|person-petar-yanakov|person-petia-stavreva-q11815936|person-plamen-dimov-q11888350|person-poli-karastoyanova-q24501700|person-rada-laykova-q127599333|person-rosica-petkova-q7368859|person-rumen-gasharov-q3656624|person-samuel-finzi-q106781|person-silvena-rowe-q3544793|person-slavik-tabakov-q23762783|person-slavcho-atanasov|person-solomon-passy-q1371792|person-sonya-yoncheva-q3490781|person-sotir-tsatsarov-q12294204|person-spas-garnevski|person-stancho-stanchev-q7598031|person-stefan-gevgalov|person-stefan-kalchev|person-stephane-tchalgadjieff-q3502097|person-stoika-milanova-q4293322|person-stoyu-stoev-q110928862|person-stoyan-zagorchinov-q3492916|person-suzanita-q42348994|person-taner-kabilov-q126683791|person-tanya-stefanova-q7684048|person-todor-petkov|person-hariton-kuev|person-hafuz-ahmed-efendi|person-haf-z-ahmed-pasha-q367949|person-hristo-bonev-q706715|person-hristo-g-danov|person-christo-grozev-q104420787|person-hristo-dyukmedzhiev|person-hristo-koilov-q5923786|person-hristo-kolev-q1985420|person-hristo-milev|person-hristo-mishev|person-hristo-pavlov|person-hristo-smolenov-q47007832|person-hristo-stoichkov-q187125|person-christo-christov-q5111619|person-christos-tsigiridis-q5113595|person-tsanko-lavrenov-q7849377|person-tzvetana-maneva-q7862005|person-tsvetelina-yaneva-q3171491|person-juliya-baytsheva-q11345804|person-julian-radulski-q492717|person-yuri-sterk-q12299588,org-plovdiv-municipality|org-plovdiv-municipal-council|org-regional-history-museum-plovdiv|org-international-fair-plovdiv|org-plovdiv-2019-foundation,archive-map-plovdiv-stanimaka-railway-1928|archive-photo-plovdiv-karastoyanov-c1908,then-now-plovdiv-karastoyanov-c1908,source-wikipedia-plovdiv|source-wikidata-plovdiv-q459|source-wikimedia-commons-plovdiv-view-jpg,needs_editorial_signoff
place-forum-philippopolis,Форум на Филипопол,Forum of Philippopolis,roman,Римски период,Римски период,Roman period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.142111111,24.750944444,event-roman-forum,,org-regional-history-museum-plovdiv,,,source-wikipedia-roman-forum-of-philippopolis|source-wikidata-forum-of-philippopolis-q26180562|source-wikimedia-commons-file-bulgaria-0813-roman-odeon-7432946560-jpg,needs_editorial_signoff
place-hisar-kapia,Хисар капия,Hisar Kapia,medieval,Античност – Средновековие,Античност – Средновековие,Antiquity – Middle Ages,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14992,24.75338,,,,,,source-wikipedia-hisar-kapia|source-wikidata-hisar-kapia-q12298081|source-wikimedia-commons-file-pli-hisarkapija001-jpg,needs_editorial_signoff
place-st-louis-cathedral,Катедрала „Свети Лудвиг“,Cathedral of St Louis,revival,XIX в.,XIX в.,19th c.,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14444444,24.7525,,,,,,source-wikipedia-cathedral-of-st-louis-plovdiv|source-wikidata-cathedral-of-st-louis-q2942391|source-wikimedia-commons-file-plovdiv-saint-louis-cathedral-2024-02-jpg,needs_editorial_signoff
