id,title_bg,title_en,reading_minutes,era_tags,theme_tags,linked_event_ids,linked_place_ids,linked_archive_item_ids,linked_then_now_pair_ids,source_ids,editorial_status
story-1928-earthquake,"1928: земетресението, щетите и визуалната памет","1928: The Earthquake, Damage and Visual Memory",4,modern,earthquake|archive_media|recovery,event-1928-earthquake,place-ivan-vazov-national-library-q630839|place-hospital-st-josif-plovdiv-q27048499|place-plovdiv-city,archive-photo-ivan-vazov-library-earthquake-1928|archive-photo-chirpan-earthquake-st-josif-1928,,source-noaa-ncei-1928-bulgaria-earthquake-information|source-journal-of-geophysical-research-paleoseismologic-investigation-of-the-14-april-1|source-wikimedia-commons-historical-images-plovdiv|source-wikimedia-commons-bulgarian-archives-state-agency|source-ivan-vazov-library-building,needs_editorial_signoff
story-deep-time-seven-hills,Преди Пловдив: как селището се изкачва към тепетата,Before Plovdiv: How a Settlement Climbed to the Hills,4,prehistory|thracian,deep_time|hills|urban_memory,event-prehistory-settlement|event-thracian-eumolpias|event-philip-philippopolis,place-plovdiv-city|place-nebet-tepe|place-old-town|place-seven-hills|place-philippopolis-q27047924|place-dzhambaz-hill-in-plovdiv-q12277962,archive-photo-dzhambaztepe-1892,then-now-dzhambaztepe-1892,source-wikipedia-plovdiv|source-visit-plovdiv-prehistory|source-plovdiv-municipality-ancient-plovdiv|source-plovdiv-municipality-history|source-visit-plovdiv-antiquity|source-wikipedia-nebet-tepe|source-wikipedia-old-town-plovdiv|source-wikipedia-philippopolis|source-wikidata-nebet-tepe-coordinates|source-wikimedia-commons-dzhambaztepe-1892-jpg,needs_editorial_signoff
story-european-capital-culture,Двайсет години на сцена: от Пловдив '99 до Европейска столица на културата,Twenty Years on Stage: From Plovdiv '99 to European Capital of Culture,4,modern,culture|europe|public_programme,event-event-1999-month-of-culture|event-event-1999-month-of-culture-scale|event-event-2014-ecoc-candidacy-budget|event-event-2018-ecoc-implementation-budget|event-event-2019-european-capital-of-culture|event-capital-of-culture-2019,place-plovdiv-city|place-ancient-theatre|place-drama-theatre-n-o-masalitinov-q12279120|place-kapana-q12282547,archive-photo-ancient-theatre-uncovered-1,then-now-ancient-theatre-uncovered-1,source-plovdiv-2019-official|source-podtepeto-plovdiv-1999-month-culture-archive|source-european-commission-ecoc-2019|source-obshtinski-savet-plovdiv-reshenie-o4-za-byudzhet-2014|source-obshtinski-savet-plovdiv-reshenie-33-za-byudzhet-2018|source-wikidata-kapana|source-plovdiv-2019-kapana-creative-district,needs_editorial_signoff
story-international-fair-modernity,"Панаирният град: изложение, индустрия и модерност","The Fair City: Exhibition, Industry and Modernity",4,modern,fair|economy|modern_city,event-event-1892-first-exposition|event-fair-1892|event-programme-1947-fair-revival,place-tzar-simeon-garden-q12298697|place-international-fair-plovdiv-q1667383|place-plovdiv-city,archive-photo-international-fair-1892-1|archive-photo-international-fair-1892-10|archive-photo-opening-1939-plovdiv-fair,then-now-opening-1939-plovdiv-fair,source-international-fair-plovdiv-1892|source-visit-plovdiv-tsar-simeon-garden-history|source-basa-3k-7-327-1-international-fair-plovdiv-1892-jpg|source-basa-3k-7-327-10-international-fair-plovdiv-1892-jpg|source-wikipedia-international-fair-plovdiv|source-basa-1318k-1-5896-2-opening-of-1939-plovdiv-fair-jpg|source-rim-plovdiv-infrastructure-1944-1990,needs_editorial_signoff
story-kapana-crafts-creative,"Капана: уличната мрежа, която оцеля два пъти",Kapana: The Street Grid That Survived Twice,4,ottoman|modern,culture|urbanism|community,event-capital-of-culture-2019,place-kapana-q12282547|place-dzhumaya-mosque|place-dzhumaya-square-q59368698,archive-postcard-dzhumaya-square-1|archive-postcard-dzhumaya-square-2,,source-wikidata-kapana|source-european-commission-ecoc-2019|source-plovdiv-2019-official|source-wikipedia-plovdiv|source-wikipedia-bg-kapana|source-visit-kapana-history-1890-1995|source-plovdiv-2019-kapana-creative-district,needs_editorial_signoff
story-maritsa-bridges,Марица след потопа: мостове към „отсрещния бряг“,The Maritsa After the Flood: Bridges to the 'Opposite Shore',4,ottoman|modern,infrastructure|urban_memory|public_space,event-programme-1970-five-year-city-plan,place-plovdiv-city|place-northern-district-q7059194|place-eastern-district-q12281496|place-gerdzhika-bridge-q56636017|place-fairground-bridge-q56613441|place-green-bridge-in-plovdiv-q56632059,archive-postcard-old-bridge-gerdjika-1930s|archive-postcard-gerdjica-1931,,source-wikipedia-plovdiv|source-wikipedia-eastern-district|source-wikipedia-northern-district|source-wikidata-gerdzhika-bridge|source-wikidata-fairground-bridge|source-wikidata-green-bridge-in-plovdiv|source-rim-plovdiv-infrastructure-1944-1990|source-gerdjica-1931-jpg|source-plovdiv-old-bridge-and-gerdjika-bridge-1930s-jpg|source-wikimedia-commons-maritsa-panoramio-jpg|source-pod-tepeto-plovdiv-1957-flood|source-pod-tepeto-stolipinovo-history,needs_editorial_signoff
story-medieval-crossroads,Средновековният Пловдив: градът зад Хисар капия,Medieval Plovdiv: The City Behind Hisar Kapia,4,medieval|ottoman,frontier|governance|names,event-krum-812|event-ivan-asen-1230|event-ottoman-1364,place-plovdiv-city|place-seven-hills|place-dzhumaya-mosque|place-hisar-kapia|place-old-town,archive-postcard-dzhumaya-square-1,then-now-dzhumaya-square-1,source-wikipedia-plovdiv|source-wikipedia-hisar-kapia|source-wikimedia-commons-file-pli-hisarkapija001-jpg|source-wikipedia-old-town-plovdiv|source-visit-plovdiv-dzhumaya-mosque|source-wikipedia-dzhumaya-mosque|source-wikimedia-commons-plovdiv-hills-jpg,needs_editorial_signoff
story-old-plovdiv-restoration,"Старинен Пловдив като проект: реставрация, администрация и памет","Old Plovdiv as Project: Restoration, Administration and Memory",4,revival|modern,restoration|heritage_management|old_town,event-programme-1969-old-plovdiv-restoration,place-old-town|place-lamartine-house|place-holy-mother-of-god|place-plovdiv-city,archive-photo-lamartine-house-restoration-1972|archive-photo-trimontium-view-1958,then-now-lamartine-house-restoration-1972,source-rim-plovdiv-infrastructure-1944-1990|source-wikipedia-old-town-plovdiv|source-wikidata-lamartine-house-q12284656|source-wikimedia-commons-historical-images-plovdiv|source-plovdiv-blick-vom-zimmer-im-trimontium-58-046-44-jpg,needs_editorial_signoff
story-ottoman-filibe-city,"Османското Филибе: град на молитва, вода и споделено време","Ottoman Filibe: A City of Worship, Water and Shared Time",4,ottoman|revival,filibe|religion|urban_layers,event-ottoman-1364,place-plovdiv-city|place-dzhumaya-mosque|place-dzhumaya-square-q59368698|place-chifte-hamam|place-mevlevi-hane|place-sahat-hill-in-plovdiv-q12293012|place-old-town,archive-photo-ottoman-clock-tower-1936|archive-postcard-dzhumaya-square-1,then-now-ottoman-clock-tower-1936|then-now-dzhumaya-square-1,source-wikipedia-plovdiv|source-visit-plovdiv-dzhumaya-mosque|source-wikipedia-dzhumaya-mosque|source-wikidata-dzhumaya-square|source-dzhumaya-square-on-old-postcard-2-jpg|source-wikidata-chifte-hamam-q60169037|source-wikidata-dervish-monastery-plovdiv-q37813757|source-wikidata-sahat-hill-in-plovdiv|source-ottoman-clock-tower-in-plovdiv-on-old-photo-jpg|source-wikimedia-commons-tower-from-old-town-plovdiv-jpg|source-wikimedia-commons-historical-images-plovdiv,needs_editorial_signoff
story-plovdiv-painters,Пловдив върху платно: как картините се върнаха у дома,Plovdiv on Canvas: How the Paintings Came Home,4,revival|modern,culture|old_town|civic_memory,event-mayor-01-atanas-samokovliev|event-birth-tsanko-lavrenov-q7849377,place-plovdiv-city|place-old-town|place-zlatyu-boyadzhiev-exposition-q12291130|place-encho-pironkov-gallery-q12287461|place-tsanko-lavrenov-national-high-school-of-art-plovdiv-q12287929,,,source-wikipedia-stanislav-dospevski|source-wikipedia-atanas-samokovliev|source-wikipedia-ivan-mrkvichka|source-wikipedia-tsanko-lavrenov|source-wikidata-tsanko-lavrenov-national-high-school-of-art-plovdiv|source-wikipedia-zlatyu-boyadzhiev|source-wikidata-zlatyu-boyadzhiev-exposition|source-wikidata-encho-pironkov-gallery|source-wikipedia-old-town-plovdiv|source-old-plovdiv-zlatyu-boyadzhiev-exposition,needs_editorial_signoff
